Data with dt = 0.2: (Execution time, Inactivity time)
41.857, -1.00
49.024, 4.10
49.028, 4.10
50.628, 4.10
51.828, 4.10
52.034, 4.10
49.819, 4.10
49.020, 4.10
51.431, 4.10
49.821, 4.10
50.017, 4.10
53.240, 4.10
49.621, 4.10
42.044, -1.00
48.609, 4.10
49.627, 4.10
49.420, 4.10
53.034, 4.10
48.812, 4.10
48.216, 4.10
48.405, 4.10
49.228, 4.10
50.200, -1.00
51.426, 4.10
49.026, 4.10
50.016, 4.10
52.457, 4.10
49.823, 4.10
51.037, 4.10
49.020, 4.10
42.249, -1.00
49.418, 4.10
50.222, 4.10
50.418, 4.10
48.817, 4.10
50.225, 4.10
49.019, 4.10
51.040, -1.00
49.436, 4.10
48.849, 4.10
48.430, 4.10
50.246, 4.10
53.407, 4.10
50.551, 4.10
50.129, 4.10
51.342, 4.10
43.570, -1.00
53.277, 4.10
48.438, 4.10
48.812, 4.10
