Data with dt = 0.4: (Execution time, Inactivity time)
67.547, 5.60
75.970, -1.00
76.375, 5.60
81.183, 5.60
82.008, 5.60
90.572, 5.60
68.746, 5.60
77.189, 5.60
77.976, 5.60
94.431, 5.60
71.961, 5.60
80.804, 5.60
72.375, -1.00
74.350, 5.60
67.533, 5.60
69.148, 5.60
75.983, 5.60
77.190, 5.60
72.367, 5.60
70.764, 5.60
84.454, 5.60
75.172, 5.60
85.450, 5.60
78.793, -1.00
75.988, 5.60
76.796, 5.60
79.575, 5.60
77.160, 5.60
73.574, 5.60
102.086, 5.60
75.187, 5.60
71.948, -1.00
79.178, -1.00
71.150, 5.60
88.063, 5.60
94.020, 5.60
73.169, 5.60
77.565, 5.60
73.970, 5.60
78.784, -1.00
73.569, 5.60
68.734, 5.60
68.764, 5.60
79.615, 5.60
84.410, 5.60
71.570, 5.60
95.623, 5.60
69.537, 5.60
75.151, 5.60
71.565, 5.60
