Data with dt = 0.35: (Execution time, Inactivity time)
66.143, 5.20
67.894, 5.20
73.508, 5.20
76.305, 5.20
92.467, -1.00
118.191, -1.00
65.760, -1.00
65.781, -1.00
64.368, 5.20
68.570, 5.20
66.872, 5.20
64.713, 5.20
65.765, -1.00
65.440, 5.20
65.771, 5.20
65.430, 5.20
85.453, 5.20
89.014, 5.20
69.671, 5.20
65.781, -1.00
76.340, 5.20
90.390, 5.20
66.492, 5.20
71.127, 5.20
66.515, 5.20
68.578, -1.00
65.785, 5.20
73.926, 5.20
142.820, -1.00
66.829, -1.00
82.072, 5.20
65.798, 5.20
84.210, -1.00
63.335, 5.20
68.235, 5.20
67.219, 5.20
66.535, 5.20
74.607, 5.20
69.337, 5.20
71.049, 5.20
126.608, -1.00
73.540, 5.20
69.645, 5.20
65.469, 5.20
66.138, 5.20
71.779, 5.20
62.975, 5.20
66.497, 5.20
73.147, 5.20
63.667, 5.20
