Data with dt = 0.5: (Execution time, Inactivity time)
78.933, 6.20
79.985, 6.20
82.933, 6.20
92.624, 6.20
114.118, 6.20
126.054, 6.20
79.984, 6.20
83.942, 6.20
88.481, 6.20
80.544, 6.20
81.036, 6.20
81.532, 6.20
86.141, 6.20
88.070, 6.20
88.050, 6.20
88.974, 6.20
82.488, 6.20
84.510, 6.20
85.564, 6.20
82.095, 6.20
94.723, 6.20
117.279, 6.20
123.365, 6.20
90.107, 6.20
78.540, 6.20
103.136, -1.00
78.049, 6.20
80.040, 6.20
87.592, 6.20
83.980, 6.20
95.646, 6.20
89.602, 6.20
80.596, 6.20
91.757, 6.20
82.709, 6.20
142.041, 6.20
80.091, 6.20
88.655, 6.20
98.213, 6.20
98.659, 6.20
122.239, 6.20
80.649, 6.20
83.033, 6.20
88.038, 6.20
80.055, 6.20
79.520, 6.20
80.535, 6.20
79.008, 6.20
78.474, 6.20
91.453, 6.20
