Data with dt = 0.45: (Execution time, Inactivity time)
74.907, 5.90
75.365, 5.90
80.004, 5.90
83.383, 5.90
84.014, 5.90
152.776, -1.00
89.636, 5.90
92.085, 5.90
85.903, 5.90
89.434, 5.90
110.463, 5.90
58.599, -1.00
115.506, 5.90
89.337, 5.90
90.256, 5.90
100.391, 5.90
107.173, 5.90
92.871, 5.90
83.667, 5.90
82.769, 5.90
79.833, 5.90
96.068, 5.90
89.774, 5.90
83.134, 5.90
88.066, 5.90
74.071, 5.90
92.209, 5.90
92.994, 5.90
96.076, 5.90
87.106, 5.90
91.042, 5.90
82.825, 5.90
87.446, 5.90
45.783, -1.00
89.667, 5.90
115.155, 5.90
94.074, 5.90
82.937, 5.90
83.356, 5.90
87.096, 5.90
93.414, 5.90
78.215, 5.90
82.595, 5.90
84.829, 5.90
77.657, 5.90
81.342, 5.90
80.315, 5.90
78.873, 5.90
81.151, 5.90
81.292, 5.90
