Data with dt = 0.25: (Execution time, Inactivity time)
55.770, 4.50
58.695, 4.50
58.624, 4.50
61.162, 4.50
61.071, 4.50
64.373, 4.50
55.251, 4.50
56.102, 4.50
55.049, 4.50
55.075, 4.50
56.877, 4.50
65.781, 4.50
55.301, 4.50
56.059, -1.00
53.038, 4.50
55.594, 4.50
55.075, 4.50
56.731, 4.50
54.138, 4.50
55.378, 4.50
54.317, 4.50
56.047, 4.50
55.551, 4.50
55.935, -1.00
56.048, 4.50
56.892, 4.50
55.322, 4.50
56.073, 4.50
53.987, 4.50
58.484, 4.50
57.444, 4.50
54.403, 4.50
55.142, 4.50
56.145, -1.00
65.517, 4.50
55.114, 4.50
55.499, 4.50
55.027, 4.50
55.876, 4.50
56.307, -1.00
54.268, 4.50
76.279, 4.50
54.233, 4.50
56.424, 4.50
62.737, 4.50
55.708, 4.50
54.924, 4.50
56.721, 4.50
55.424, 4.50
54.402, -1.00
