Data with dt = 0.15: (Execution time, Inactivity time)
44.364, 3.60
45.648, 3.60
46.107, 3.60
46.591, 3.60
47.786, 3.60
49.587, 3.60
43.458, 3.60
45.874, 3.60
44.058, 3.60
46.622, -1.00
45.118, 3.60
46.321, 3.60
43.756, -1.00
43.012, 3.60
43.765, 3.60
43.904, 3.60
44.513, 3.60
44.061, 3.60
42.875, 3.60
43.176, 3.60
45.419, 3.60
43.149, 3.60
42.850, 3.60
43.158, 3.60
43.906, 3.60
43.163, 3.60
42.859, 3.60
43.907, 3.60
42.849, 3.60
52.811, 3.60
42.552, 3.60
43.448, 3.60
43.166, 3.60
45.880, 3.60
45.110, 3.60
43.459, 3.60
42.719, 3.60
43.451, 3.60
43.451, 3.60
45.849, 3.60
43.140, 3.60
45.707, -1.00
43.615, 3.60
46.038, 3.60
44.217, 3.60
43.450, 3.60
44.509, 3.60
43.168, 3.60
43.008, 3.60
42.865, 3.60
