Data with dt = 0.3: (Execution time, Inactivity time)
60.431, 4.90
60.734, 4.90
61.019, -1.00
61.010, -1.00
61.030, 4.90
65.564, 4.90
60.712, -1.00
61.334, 4.90
62.853, 4.90
63.135, 4.90
64.052, 4.90
61.023, 4.90
60.729, 4.90
61.315, -1.00
61.317, -1.00
62.231, 4.90
63.127, 4.90
66.133, 4.90
61.324, -1.00
62.828, 4.90
61.019, 4.90
61.324, 4.90
60.117, -1.00
62.221, 4.90
58.624, 4.90
60.433, 4.90
59.216, 4.90
60.420, 4.90
60.411, 4.90
64.924, 4.90
59.808, 4.90
61.323, 4.90
62.829, -1.00
61.328, 4.90
61.934, -1.00
60.419, 4.90
63.125, -1.00
61.348, 4.90
62.821, -1.00
61.625, 4.90
69.473, 4.90
62.521, -1.00
64.025, -1.00
63.742, 4.90
65.539, -1.00
66.450, 4.90
65.834, 4.90
83.910, 4.90
63.137, 4.90
63.723, 4.90
